,2,3,4,5,6
0,0.5782878112792968,0.1006106440226237,0.041161486307779944,0.6567330932617188,0.10193857192993164
1,0.3615536244710286,0.024975226720174153,0.010145692825317383,0.2701902008056641,0.009361523787180583
2,0.2167260233561198,0.013002280394236248,0.009229130744934082,0.06747848510742188,0.009244906107584635
3,0.11468715667724609,0.0106786314646403,0.009236196676890055,0.018411815961201984,0.009241315523783366
4,0.061742852528889974,0.010002655188242594,0.009252112706502278,0.010629173119862874,0.009240194161732992
5,0.033944520950317386,0.009572974840799968,0.009242754777272542,0.009356812636057536,0.009245344797770182
6,0.018429646492004393,0.009432029724121094,0.009242000579833985,0.009302221139272053,0.009235921700795492
7,0.012043769359588624,0.009283332824707032,0.009246123631795248,0.009242672125498454,0.009250367482503255
8,0.0100087308883667,0.009311566352844238,0.009259641170501709,0.009237778186798096,0.009253057638804118
9,0.00939875841140747,0.009412640730539958,0.009238862991333007,0.009245898723602295,0.009245619773864747
10,0.009275182088216146,0.009299918015797933,0.009245053132375081,0.009244038263956705,0.009244094689687093
11,0.009238821665445963,0.009350725015004476,0.009254424571990967,0.009243594805399576,0.009246706167856852
12,0.009230782190958658,0.009353026549021403,0.00924607515335083,0.009243963559468587,0.009249416987101237
13,0.00923084815343221,0.00940033515294393,0.009239950180053712,0.009238177140553793,0.009244672457377116
14,0.009232959747314452,0.009436140855153402,0.009243818918863932,0.009239380359649657,0.009246739546457926
15,0.009230613708496094,0.009374104340871174,0.009257757663726806,0.009242895444234213,0.009255730311075846
16,0.009237882296244303,0.00933922290802002,0.009238855044047038,0.009236627419789633,0.009256087144215901
17,0.00923193375269572,0.009346779187520344,0.009257341225941976,0.009242138862609862,0.009249695142110189
18,0.009233044783274332,0.009286378224690755,0.0092484450340271,0.009256166617075602,0.00924764633178711
19,0.009232869942982991,0.009376242160797119,0.009245522816975911,0.00923779805501302,0.009265117645263672
20,0.009231403668721517,0.009305808544158935,0.009247148036956787,0.009245818456013997,0.009250459671020507
21,0.009232672055562337,0.009399863084157307,0.009234716097513834,0.00924332062403361,0.00925597588221232
22,0.009233462810516357,0.009322086175282795,0.00924501895904541,0.009237809975941976,0.009254547754923502
23,0.009233359495798748,0.009275448322296143,0.009258239269256592,0.009251228968302409,0.009269914627075194
24,0.009233028093973795,0.00927525281906128,0.00926746686299642,0.009247293472290039,0.009258091449737549
25,0.009235517183939616,0.009266231060028076,0.009260203043619792,0.009239861170450846,0.009241495927174886
26,0.009235590298970541,0.009274919033050538,0.009249670505523682,0.009245736598968506,0.00926394780476888
27,0.00923566182454427,0.009257665475209554,0.009254602591196696,0.009241359233856201,0.009254511992136637
28,0.009244590600331625,0.009278686046600341,0.009269163608551026,0.009241512616475423,0.009249474207560221
